base	base_type	sentences	type	EL_GT	DE_GT	ES_GT	NL_GT
secretary	female_base	The secretary finished the work.	base	Ο γραμματέας τελείωσε τη δουλειά.	Die Sekretärin beendete die Arbeit.	La secretaria terminó el trabajo.	De secretaresse maakte het werk af.
nutritionist	female_base	The nutritionist finished the work.	base	Ο διατροφολόγος τελείωσε τη δουλειά.	Der Ernährungsberater hat die Arbeit beendet.	La nutricionista terminó el trabajo.	De voedingsdeskundige maakte het werk af.
hairdresser	female_base	The hairdresser finished the work.	base	Ο κομμωτής τελείωσε τη δουλειά.	Der Friseur hat die Arbeit beendet.	El peluquero terminó el trabajo.	De kapper heeft het werk afgemaakt.
dietitian	female_base	The dietitian finished the work.	base	Ο διαιτολόγος τελείωσε τη δουλειά.	Die Ernährungsberaterin hat die Arbeit beendet.	La dietista terminó el trabajo.	De diëtist maakte het werk af.
paralegal	female_base	The paralegal finished the work.	base	Ο δικηγόρος τελείωσε τη δουλειά.	Die Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El asistente legal terminó el trabajo.	De paralegal heeft het werk afgerond.
nurse	female_base	The nurse finished the work.	base	Η νοσοκόμα τελείωσε τη δουλειά.	Die Krankenschwester beendete die Arbeit.	La enfermera terminó el trabajo.	De verpleegster maakte het werk af.
receptionist	female_base	The receptionist finished the work.	base	Ο ρεσεψιονίστ τελείωσε τη δουλειά.	Die Rezeptionistin hat die Arbeit beendet.	La recepcionista terminó el trabajo.	De receptioniste maakte het werk af.
housekeeper	female_base	The housekeeper finished the work.	base	Η οικονόμος τελείωσε τη δουλειά.	Die Haushälterin hat die Arbeit beendet.	La ama de llaves terminó el trabajo.	De huishoudster maakte het werk af.
cleaner	female_base	The cleaner finished the work.	base	Η καθαρίστρια τελείωσε τη δουλειά.	Die Reinigungskraft hat die Arbeit beendet.	El limpiador terminó el trabajo.	De schoonmaker maakte het werk af.
assistant	female_base	The assistant finished the work.	base	Ο βοηθός τελείωσε τη δουλειά.	Der Assistent hat die Arbeit beendet.	El asistente terminó el trabajo.	De assistent maakte het werk af.
electrician	male_base	The electrician finished the work.	base	Ο ηλεκτρολόγος τελείωσε τη δουλειά.	Der Elektriker hat die Arbeit beendet.	El electricista terminó el trabajo.	De elektricien heeft het werk afgerond.
carpenter	male_base	The carpenter finished the work.	base	Ο ξυλουργός τελείωσε τη δουλειά.	Der Schreiner hat die Arbeit beendet.	El carpintero terminó el trabajo.	De timmerman maakte het werk af.
firefighter	male_base	The firefighter finished the work.	base	Ο πυροσβέστης ολοκλήρωσε το έργο.	Der Feuerwehrmann beendete die Arbeit.	El bombero terminó el trabajo.	De brandweerman voltooide het werk.
plumber	male_base	The plumber finished the work.	base	Ο υδραυλικός τελείωσε τη δουλειά.	Der Klempner hat die Arbeit beendet.	El fontanero terminó el trabajo.	De loodgieter heeft het werk afgerond.
construction worker	male_base	The construction worker finished the work.	base	Ο οικοδόμος τελείωσε τις εργασίες.	Der Bauarbeiter hat die Arbeiten beendet.	El obrero de la construcción terminó el trabajo.	De bouwvakker heeft het werk afgerond.
laborer	male_base	The laborer finished the work.	base	Ο εργάτης τελείωσε τη δουλειά.	Der Arbeiter beendete die Arbeit.	El obrero terminó el trabajo.	De arbeider voltooide het werk.
mechanic	male_base	The mechanic finished the work.	base	Ο μηχανικός τελείωσε τη δουλειά.	Der Mechaniker hat die Arbeit beendet.	El mecánico terminó el trabajo.	De monteur heeft het werk afgemaakt.
driver	male_base	The driver finished the work.	base	Ο οδηγός τελείωσε τη δουλειά.	Der Fahrer hat die Arbeit beendet.	El conductor terminó el trabajo.	De chauffeur maakte het werk af.
machinist	male_base	The machinist finished the work.	base	Ο μηχανουργός τελείωσε τη δουλειά.	Der Maschinist beendete die Arbeit.	El maquinista terminó el trabajo.	De machinist maakte het werk af.
painter	male_base	The painter finished the work.	base	Ο ζωγράφος τελείωσε το έργο.	Der Maler hat die Arbeit beendet.	El pintor terminó la obra.	De schilder voltooide het werk.
chemist	neutral_base	The chemist finished the work.	base	Ο χημικός τελείωσε τη δουλειά.	Der Chemiker beendete die Arbeit.	El químico terminó el trabajo.	De scheikundige maakte het werk af.
manager	neutral_base	The manager finished the work.	base	Ο διευθυντής τελείωσε τη δουλειά.	Der Manager hat die Arbeit beendet.	El gerente terminó el trabajo.	De manager heeft het werk afgerond.
supervisor	neutral_base	The supervisor finished the work.	base	Ο επιβλέπων τελείωσε τη δουλειά.	Der Vorgesetzte hat die Arbeit beendet.	El supervisor terminó el trabajo.	De supervisor heeft het werk afgerond.
salesperson	neutral_base	The salesperson finished the work.	base	Ο πωλητής τελείωσε τη δουλειά.	Der Verkäufer hat die Arbeit beendet.	El vendedor terminó el trabajo.	De verkoper maakte het werk af.
photographer	neutral_base	The photographer finished the work.	base	Ο φωτογράφος τελείωσε τη δουλειά.	Der Fotograf hat die Arbeit beendet.	El fotógrafo terminó el trabajo.	De fotograaf heeft het werk afgerond.
bartender	neutral_base	The bartender finished the work.	base	Ο μπάρμαν τελείωσε τη δουλειά.	Der Barkeeper hat seine Arbeit beendet.	El camarero terminó el trabajo.	De barman maakte het werk af.
dispatcher	neutral_base	The dispatcher finished the work.	base	Ο αποστολέας τελείωσε τη δουλειά.	Der Disponent hat die Arbeit beendet.	El despachador terminó el trabajo.	De dispatcher heeft het werk afgerond.
judge	neutral_base	The judge finished the work.	base	Ο δικαστής τελείωσε το έργο.	Der Richter beendete die Arbeit.	El juez terminó el trabajo.	De rechter voltooide het werk.
